Date,Ticker,Open,High,Low,Close,Adj_Close,Volume,Daily_Return,Volatility_20d
2021-01-04,AAPL,129.85384635373498,129.94137159533847,123.2794586166156,125.85669708251952,125.85669708251952,143301900.0,0.0,
2021-01-05,AAPL,125.350973003029,128.12272441766163,124.90359702782354,127.41275787353516,127.41275787353516,97664900.0,0.01236375041683635,
2021-01-06,AAPL,124.21309795786028,127.45166544679954,122.90988747820572,123.12384796142578,123.12384796142578,155088000.0,-0.03366154209114891,
2021-01-07,AAPL,124.83555003879502,128.01576801979238,124.34927881160118,127.32525634765624,127.32525634765624,109578200.0,0.03412343307810484,
2021-01-08,AAPL,128.79376556588605,128.98828589154795,126.654175541961,128.42420959472656,128.42420959472656,105158200.0,0.008631070367293603,
2021-01-11,AAPL,125.64273985954291,126.59582714131228,124.97168331019908,125.4384994506836,125.4384994506836,100384500.0,-0.023248810745770565,
2021-01-12,AAPL,124.97171541245466,126.12904340037332,123.37674625292355,125.26348114013672,125.26348114013672,91951100.0,-0.001395251946677556,
2021-01-13,AAPL,125.22456886703496,127.8407106062961,124.96199307270231,127.29608917236328,127.29608917236328,88636800.0,0.01622666090488578,
2021-01-14,AAPL,127.20854206590192,127.4030475675069,125.22454736600264,125.37043762207033,125.37043762207033,90221800.0,-0.015127342582265446,
2021-01-15,AAPL,125.24398598218208,126.64444915422231,123.5128620166925,123.64901733398438,123.64901733398438,111598500.0,-0.01373067144644724,
2021-01-19,AAPL,124.27143828252557,125.17591022451418,123.45450641479232,124.320068359375,124.320068359375,90757300.0,0.005427063149058942,
2021-01-20,AAPL,125.12730680892926,128.85214592405728,125.02032655299224,128.40476989746094,128.40476989746094,104319500.0,0.03285633278674038,
2021-01-21,AAPL,130.1261500695179,135.83496806730977,129.92190967683482,133.11184692382812,133.11184692382812,120150900.0,0.036658116595871704,
2021-01-22,AAPL,132.53803360991805,136.0100159621577,131.31263593020583,135.25143432617188,135.25143432617188,114459400.0,0.01607360615744513,
2021-01-25,AAPL,139.1416483205631,141.106173284309,132.79093279458516,138.99575805664062,138.99575805664062,157611700.0,0.027684170220620086,
2021-01-26,AAPL,139.65707747210416,140.3378541007655,137.48829750104505,139.22915649414062,139.22915649414062,98390600.0,0.0016791766940462693,
2021-01-27,AAPL,139.49174105337266,140.3378629823739,136.5546738638665,138.15936279296875,138.15936279296875,140843800.0,-0.00768369017029058,
